col1,col2,all_age,ag00,ag01,ag02,ag03,ag04,ag0004,ag0509,ag1014,ag1519,ag2024,ag2529,ag3034,ag3539,ag4044,ag4549,ag5054,ag5559,ag6064,ag6569,ag7074,ag7579,ag8084,ag8589,ag9094,ag9599,ag100,unknown
c12000,_male,1104,0,0,1,0,0,1,0,0,0,1,1,1,2,3,15,15,19,38,71,116,158,192,246,161,56,8,0
c12000,_female,1718,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,6,8,18,27,80,136,228,397,456,282,73,0
c13000,_total,8998,0,0,0,1,1,2,0,1,4,2,2,13,15,39,78,100,167,286,508,950,1406,1771,1898,1219,435,101,1
c13000,_male,3523,0,0,0,1,0,1,0,1,2,0,1,5,1,17,37,49,88,139,234,475,595,720,708,337,93,19,1
c13000,_female,5475,0,0,0,0,1,1,0,0,2,2,1,8,14,22,41,51,79,147,274,475,811,1051,1190,882,342,82,0
c14000,_total,42505,0,1,0,0,0,1,5,5,3,5,8,17,30,52,103,228,318,576,1288,2586,4225,7286,10667,10161,4161,778,2
c14000,_male,19793,0,0,0,0,0,0,2,2,1,4,3,11,19,31,76,157,230,390,893,1722,2544,3990,4927,3641,1008,140,2
c14000,_female,22712,0,1,0,0,0,1,3,3,2,1,5,6,11,21,27,71,88,186,395,864,1681,3296,5740,6520,3153,638,0
c15000,_total,23,0,0,0,0,0,0,0,0,1,3,3,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
c15000,_male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c15000,_female,23,0,0,0,0,0,0,0,0,1,3,3,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
c16000,_total,442,424,3,1,2,2,432,5,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c16000,_male,246,234,2,1,1,2,240,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c16000,_female,196,190,1,0,1,0,192,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c17000,_total,1866,544,30,31,16,9,630,31,22,23,27,21,32,37,38,42,72,66,85,89,86,132,131,128,123,43,8,0
c17000,_male,849,254,14,19,11,4,302,15,13,14,13,15,17,19,14,24,38,41,44,43,43,58,48,54,28,4,2,0
c17000,_female,1017,290,16,12,5,5,328,16,9,9,14,6,15,18,24,18,34,25,41,46,43,74,83,74,95,39,6,0
c18000,_total,159483,226,25,10,7,1,269,10,12,21,77,84,99,190,342,644,983,1358,1842,2847,4545,6666,14582,30667,46131,34670,13232,212
c18000,_male,52794,126,13,6,2,1,148,3,6,14,49,63,70,136,252,509,763,1099,1541,2331,3351,3982,7005,11416,12433,5955,1510,158
c18000,_female,106689,100,12,4,5,0,121,7,6,7,28,21,29,54,90,135,220,259,301,516,1194,2684,7577,19251,33698,28715,11722,54
c20000,_total,66234,97,37,12,19,16,181,65,190,921,1616,1463,1528,1714,2072,2664,2721,2767,2905,3908,5714,6942,8395,9515,7208,2966,684,95
c20000,_male,40154,55,25,9,9,12,110,40,110,608,1114,995,1120,1213,1523,1867,1932,2002,2124,2772,3870,4399,4984,5128,3202,859,104,78
c20000,_female,26080,42,12,3,10,4,71,25,80,313,502,468,408,501,549,797,789,765,781,1136,1844,2543,3411,4387,4006,2107,580,17
c22000,_total,3466,0,0,0,0,0,0,0,0,0,0,1,2,3,8,18,24,63,99,187,353,511,696,737,506,210,48,0
c22000,_male,2094,0,0,0,0,0,0,0,0,0,0,1,2,2,5,14,22,54,78,159,277,345,461,402,212,49,11,0
c22000,_female,1372,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,9,21,28,76,166,235,335,294,161,37,0
