col1,col2,all_age,ag00,ag01,ag02,ag03,ag04,ag0004,ag0509,ag1014,ag1519,ag2024,ag2529,ag3034,ag3539,ag4044,ag4549,ag5054,ag5559,ag6064,ag6569,ag7074,ag7579,ag8084,ag8589,ag9094,ag9599,ag100,unknown
c_all,_total,1439856,1399,206,110,98,70,1883,330,441,1204,2183,2322,2863,4293,7154,13677,20948,27795,40094,69526,135816,158871,225185,292364,264183,134035,34262,427
c_all,_male,738141,762,106,63,58,29,1018,194,244,756,1440,1527,1838,2772,4443,8712,13500,18666,27722,48357,93053,102248,132093,144427,97726,32293,4787,325
c_all,_female,701715,637,100,47,40,41,865,136,197,448,743,795,1025,1521,2711,4965,7448,9129,12372,21169,42763,56623,93092,147937,166457,101742,29475,102
c01000,_total,22160,34,14,6,6,3,63,10,5,10,17,17,19,36,51,139,242,340,528,980,2137,2828,4119,4999,3905,1480,229,6
c01000,_male,10889,22,4,3,5,1,35,5,3,5,9,13,9,24,36,102,172,239,362,633,1329,1624,2137,2319,1417,371,42,3
c01000,_female,11271,12,10,3,1,2,28,5,2,5,8,4,10,12,15,37,70,101,166,347,808,1204,1982,2680,2488,1109,187,3
c02000,_total,394988,15,9,17,25,12,78,105,90,141,172,243,538,985,2095,4397,7628,11574,18013,32551,61066,61710,69913,67676,41278,12986,1734,15
c02000,_male,229772,7,7,9,11,6,40,56,53,87,118,130,234,414,814,1912,3581,6278,11072,21216,40824,40221,42816,36860,18411,4242,382,11
c02000,_female,165216,8,2,8,14,6,38,49,37,54,54,113,304,571,1281,2485,4047,5296,6941,11335,20242,21489,27097,30816,22867,8744,1352,4
c03000,_total,4595,10,0,1,3,1,15,5,6,2,8,4,11,13,14,31,64,63,123,171,389,543,783,1029,881,373,67,0
c03000,_male,2018,7,0,1,3,1,12,3,3,1,6,3,4,6,8,17,37,32,70,85,232,279,386,444,286,90,14,0
c03000,_female,2577,3,0,0,0,0,3,2,3,1,2,1,7,7,6,14,27,31,53,86,157,264,397,585,595,283,53,0
c04000,_total,23437,15,4,1,3,3,26,6,8,11,23,31,44,82,134,288,424,597,760,1301,2512,2694,3866,4757,3932,1602,336,3
c04000,_male,12213,8,3,1,1,2,15,0,6,7,15,19,29,52,88,206,300,450,602,947,1723,1648,2174,2160,1354,374,41,3
c04000,_female,11224,7,1,0,2,1,11,6,2,4,8,12,15,30,46,82,124,147,158,354,789,1046,1692,2597,2578,1228,295,0
c05000,_total,24966,0,0,0,0,0,0,0,0,5,8,11,20,28,62,90,129,152,258,427,966,1715,3377,6092,6657,3931,1037,1
c05000,_male,9528,0,0,0,0,0,0,0,0,0,1,7,5,10,23,56,90,105,181,313,641,1032,1766,2536,1955,724,82,1
c05000,_female,15438,0,0,0,0,0,0,0,0,5,7,4,15,18,39,34,39,47,77,114,325,683,1611,3556,4702,3207,955,0
c06000,_total,55466,36,15,12,10,5,78,31,31,50,74,68,81,103,171,279,415,627,1057,2128,4830,6863,10594,12849,10036,4270,831,0
c06000,_male,25502,15,11,7,6,2,41,15,21,29,46,42,51,64,114,178,256,399,640,1352,2958,3977,5733,5697,3052,759,78,0
c06000,_female,29964,21,4,5,4,3,37,16,10,21,28,26,30,39,57,101,159,228,417,776,1872,2886,4861,7152,6984,3511,753,0
c07000,_total,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,3,1,0
c07000,_male,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,0,0
c07000,_female,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
c08000,_total,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,1,4,4,3,1,0,0
c08000,_male,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,4,1,0,0,0
c08000,_female,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,2,1,0,0
c09000,_total,357561,50,16,6,3,8,83,26,35,57,99,200,332,729,1474,3362,5303,6396,8930,14890,29156,36067,54690,77273,73316,37052,8040,51
c09000,_male,173393,30,7,3,2,4,46,14,14,46,67,149,242,544,1104,2529,4071,5041,6823,11090,20368,22518,30306,34873,24334,8087,1095,32
c09000,_female,184168,20,9,3,1,4,37,12,21,11,32,51,90,185,370,833,1232,1355,2107,3800,8788,13549,24384,42400,48982,28965,6945,19
c10000,_total,175490,28,15,3,4,5,55,13,9,14,19,33,37,70,129,301,550,888,1805,4393,11781,18717,31861,44391,39405,17520,3488,11
c10000,_male,107729,15,9,0,0,0,24,7,4,7,12,20,21,51,93,217,408,707,1447,3428,9260,14017,22321,27821,20359,6655,839,11
c10000,_female,67761,13,6,3,4,5,31,6,5,7,7,13,16,19,36,84,142,181,358,965,2521,4700,9540,16570,19046,10865,2649,0
