col1,col2,all_age,ag00,ag01,ag02,ag03,ag04,ag0004,ag0509,ag1014,ag1519,ag2024,ag2529,ag3034,ag3539,ag4044,ag4549,ag5054,ag5559,ag6064,ag6569,ag7074,ag7579,ag8084,ag8589,ag9094,ag9599,ag100,unknown
c11000,_total,55782,47,1,2,5,3,58,6,9,20,23,41,92,230,529,1028,1600,1862,2391,3395,5456,5912,8399,10620,9212,4124,764,11
c11000,_male,29854,27,0,2,2,1,32,3,4,14,16,24,60,157,374,796,1241,1493,1879,2537,3818,3668,4657,4917,3142,913,102,7
c11000,_female,25928,20,1,0,3,2,26,3,5,6,7,17,32,73,155,232,359,369,512,858,1638,2244,3742,5703,6070,3211,662,4
c12000,_total,3103,1,0,0,1,0,2,0,0,0,1,2,2,4,9,16,25,33,66,94,223,273,502,694,701,363,91,2
c12000,_male,1278,1,0,0,1,0,2,0,0,0,1,1,1,2,6,13,14,22,52,59,125,154,262,285,198,72,7,2
c12000,_female,1825,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,11,11,14,35,98,119,240,409,503,291,84,0
c13000,_total,9676,0,0,0,0,1,1,2,1,5,1,8,9,9,30,62,97,151,242,503,1111,1400,1882,2082,1376,578,126,0
c13000,_male,3894,0,0,0,0,1,1,1,1,4,1,6,3,3,10,28,57,71,136,238,521,653,813,778,448,108,13,0
c13000,_female,5782,0,0,0,0,0,0,1,0,1,0,2,6,6,20,34,40,80,106,265,590,747,1069,1304,928,470,113,0
c14000,_total,46295,5,2,1,1,0,9,8,3,2,9,8,25,32,39,142,240,356,607,1297,3042,4253,7638,11677,11040,4995,870,3
c14000,_male,21754,5,2,1,0,0,8,7,3,1,3,6,13,12,23,87,171,240,416,880,2005,2578,4183,5489,4114,1379,134,2
c14000,_female,24541,0,0,0,1,0,1,1,0,1,6,2,12,20,16,55,69,116,191,417,1037,1675,3455,6188,6926,3616,736,1
c15000,_total,28,0,0,0,0,0,0,0,0,0,1,5,10,4,6,0,0,1,0,0,1,0,0,0,0,0,0,0
c15000,_male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c15000,_female,28,0,0,0,0,0,0,0,0,0,1,5,10,4,6,0,0,1,0,0,1,0,0,0,0,0,0,0
c16000,_total,408,383,12,2,0,2,399,1,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c16000,_male,219,208,4,1,0,1,214,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c16000,_female,189,175,8,1,0,1,185,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c17000,_total,1963,491,48,22,14,15,590,44,32,21,28,30,30,39,29,60,58,94,90,107,113,120,134,156,131,55,2,0
c17000,_male,947,247,18,10,11,5,291,25,14,12,18,17,15,24,14,38,34,50,50,54,59,58,62,63,38,11,0,0
c17000,_female,1016,244,30,12,3,10,299,19,18,9,10,13,15,15,15,22,24,44,40,53,54,62,72,93,93,44,2,0
c18000,_total,180319,193,35,13,8,1,250,3,5,28,74,70,126,192,303,617,982,1364,1813,2900,5310,6992,15960,34805,52256,40372,15693,204
c18000,_male,59191,113,20,7,7,0,147,3,2,13,49,47,96,144,241,469,778,1114,1518,2379,3949,4217,7608,13005,14274,7196,1780,162
c18000,_female,121128,80,15,6,1,1,103,0,3,15,25,23,30,48,62,148,204,250,295,521,1361,2775,8352,21800,37982,33176,13913,42
c20000,_total,66803,91,35,24,15,11,176,70,205,833,1619,1539,1469,1690,1997,2687,2813,2797,2765,3489,5953,6602,8459,9928,7545,3309,744,114
c20000,_male,40198,57,21,18,9,5,110,55,115,527,1073,1033,1043,1227,1424,1918,1987,2017,1962,2477,3959,4184,5077,5474,3305,1011,134,86
c20000,_female,26605,34,14,6,6,6,66,15,90,306,546,506,426,463,573,769,826,780,803,1012,1994,2418,3382,4454,4240,2298,610,28
c22000,_total,16784,0,0,0,0,0,0,0,0,2,5,12,17,46,82,178,377,500,646,897,1764,2181,3002,3331,2508,1021,209,6
c22000,_male,9743,0,0,0,0,0,0,0,0,1,5,10,11,37,71,146,302,408,512,666,1278,1420,1789,1701,1038,299,44,5
c22000,_female,7041,0,0,0,0,0,0,0,0,1,0,2,6,9,11,32,75,92,134,231,486,761,1213,1630,1470,722,165,1
