col1,col2,all_age,ag00,ag01,ag02,ag03,ag04,ag0004,ag0509,ag1014,ag1519,ag2024,ag2529,ag3034,ag3539,ag4044,ag4549,ag5054,ag5559,ag6064,ag6569,ag7074,ag7579,ag8084,ag8589,ag9094,ag9599,ag100,unknown
c_all,_total,1381093,1654,278,157,128,102,2319,379,426,1177,2042,2055,2978,4477,7813,14024,19545,27390,42145,79490,117966,163768,222333,279010,245517,116672,29083,484
c_all,_male,707421,892,138,80,68,51,1229,209,236,771,1430,1372,1961,2851,4889,8802,12646,18274,29211,55240,80580,105133,128508,135395,88425,25833,4067,359
c_all,_female,673672,762,140,77,60,51,1090,170,190,406,612,683,1017,1626,2924,5222,6899,9116,12934,24250,37386,58635,93825,143615,157092,90839,25016,125
c01000,_total,23544,60,26,16,6,6,114,18,5,16,17,16,29,47,65,134,250,371,606,1330,1956,2961,4365,5534,4035,1421,250,4
c01000,_male,11531,27,11,9,4,3,54,12,1,9,15,11,18,30,45,98,176,259,413,888,1230,1643,2237,2499,1476,364,49,4
c01000,_female,12013,33,15,7,2,3,60,6,4,7,2,5,11,17,20,36,74,112,193,442,726,1318,2128,3035,2559,1057,201,0
c02000,_total,389867,17,14,20,19,19,89,96,118,133,172,265,536,1154,2313,4840,7406,11946,19653,38022,54020,64427,69166,64123,38778,11208,1387,15
c02000,_male,227545,5,9,12,6,11,43,57,74,59,106,140,223,460,916,2088,3569,6543,12176,25002,36335,42066,42094,34842,17019,3394,329,10
c02000,_female,162322,12,5,8,13,8,46,39,44,74,66,125,313,694,1397,2752,3837,5403,7477,13020,17685,22361,27072,29281,21759,7814,1058,5
c03000,_total,4454,13,1,5,1,3,23,3,2,3,3,6,8,20,25,35,55,76,111,237,317,586,767,965,819,335,57,1
c03000,_male,1996,10,1,3,1,1,16,2,1,3,1,3,3,11,12,22,29,35,60,135,184,315,413,422,254,70,4,1
c03000,_female,2458,3,0,2,0,2,7,1,1,0,2,3,5,9,13,13,26,41,51,102,133,271,354,543,565,265,53,0
c04000,_total,22144,16,4,3,0,4,27,6,2,8,14,16,44,62,145,266,384,558,764,1503,2063,2843,3817,4480,3429,1438,269,6
c04000,_male,11500,10,2,1,0,3,16,3,2,8,9,8,28,31,103,191,279,417,576,1094,1450,1789,2134,2042,1028,246,41,5
c04000,_female,10644,6,2,2,0,1,11,3,0,0,5,8,16,31,42,75,105,141,188,409,613,1054,1683,2438,2401,1192,228,1
c05000,_total,23542,0,0,0,0,0,0,1,0,5,3,4,16,26,45,76,103,130,230,407,792,1663,3353,5757,6387,3630,913,1
c05000,_male,8675,0,0,0,0,0,0,0,0,0,0,0,5,16,17,42,58,83,173,287,520,989,1714,2360,1738,596,77,0
c05000,_female,14867,0,0,0,0,0,0,1,0,5,3,4,11,10,28,34,45,47,57,120,272,674,1639,3397,4649,3034,836,1
c06000,_total,51117,37,22,11,8,11,89,39,33,70,92,94,84,114,204,327,422,622,1077,2307,3830,6670,10128,11763,8929,3574,647,2
c06000,_male,23476,19,10,4,4,3,40,21,16,45,66,72,51,78,125,223,276,389,683,1451,2335,3871,5415,5066,2570,610,71,2
c06000,_female,27641,18,12,7,4,8,49,18,17,25,26,22,33,36,79,104,146,233,394,856,1495,2799,4713,6697,6359,2964,576,0
c07000,_total,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
c07000,_male,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
c07000,_female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c08000,_total,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,1,4,0,2,0,0
c08000,_male,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1,0,0,1,0,0
c08000,_female,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0
c09000,_total,350505,58,17,6,10,10,101,32,37,51,128,161,369,765,1718,3497,4891,6298,9391,16926,25723,37635,56299,76064,70046,33130,7193,50
c09000,_male,166909,30,3,3,6,7,49,12,20,34,93,116,267,567,1271,2607,3724,4881,7154,12466,17703,23192,30109,32975,22192,6514,931,32
c09000,_female,183596,28,14,3,4,3,52,20,17,17,35,45,102,198,447,890,1167,1417,2237,4460,8020,14443,26190,43089,47854,26616,6262,18
c10000,_total,193234,55,37,18,14,7,131,26,19,21,25,35,60,93,194,362,574,1015,2273,5732,11257,21445,34570,48983,43415,18965,4022,17
c10000,_male,114136,30,22,10,11,2,75,17,11,17,12,19,35,66,117,229,415,756,1796,4406,8689,15820,23665,29619,21260,6209,888,15
c10000,_female,79098,25,15,8,3,5,56,9,8,4,13,16,25,27,77,133,159,259,477,1326,2568,5625,10905,19364,22155,12756,3134,2
c11000,_total,52742,33,9,7,5,8,62,13,9,16,25,40,102,197,508,935,1388,1781,2312,3632,4729,6262,8129,10002,8269,3652,672,7
c11000,_male,28065,15,4,6,2,6,33,6,5,9,20,18,67,141,373,724,1093,1430,1849,2724,3254,3972,4370,4407,2717,763,84,6
c11000,_female,24677,18,5,1,3,2,29,7,4,7,5,22,35,56,135,211,295,351,463,908,1475,2290,3759,5595,5552,2889,588,1
c12000,_total,2682,1,0,0,0,0,1,0,0,0,0,0,4,3,9,13,31,33,56,95,187,262,447,598,561,303,79,0
c12000,_male,1117,1,0,0,0,0,1,0,0,0,0,0,1,2,6,11,25,23,44,59,122,150,213,244,154,56,6,0
c12000,_female,1565,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,6,10,12,36,65,112,234,354,407,247,73,0
c13000,_total,8996,0,0,0,2,1,3,1,2,1,0,9,8,14,39,70,111,158,274,623,916,1410,1749,1843,1226,436,103,0
c13000,_male,3644,0,0,0,1,0,1,0,0,1,0,4,2,3,14,30,49,81,161,310,436,661,740,683,377,78,13,0
c13000,_female,5352,0,0,0,1,1,2,1,2,0,0,5,6,11,25,40,62,77,113,313,480,749,1009,1160,849,358,90,0
c14000,_total,40946,5,1,0,0,0,6,4,0,2,4,7,17,19,63,110,217,289,579,1333,2400,4107,7107,10488,9509,3986,697,2
c14000,_male,18972,4,1,0,0,0,5,2,0,0,2,5,10,11,48,70,152,199,404,891,1546,2447,3878,4855,3362,965,118,2
c14000,_female,21974,1,0,0,0,0,1,2,0,2,2,2,7,8,15,40,65,90,175,442,854,1660,3229,5633,6147,3021,579,0
c15000,_total,32,0,0,0,0,0,0,0,0,0,1,8,8,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0
c15000,_male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c15000,_female,32,0,0,0,0,0,0,0,0,0,1,8,8,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0
c16000,_total,454,429,6,3,2,2,442,8,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c16000,_male,251,238,4,2,1,0,245,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c16000,_female,203,191,2,1,1,2,197,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c17000,_total,2076,580,63,32,28,19,722,41,23,31,34,22,38,43,54,48,46,83,83,146,116,106,144,130,122,41,3,0
c17000,_male,954,300,21,13,13,9,356,19,11,16,15,13,20,23,28,29,26,32,36,80,52,42,68,44,36,8,0,0
c17000,_female,1122,280,42,19,15,10,366,22,12,15,19,9,18,20,26,19,20,51,47,66,64,64,76,86,86,33,3,0
c18000,_total,148027,244,39,10,9,2,304,16,11,16,76,85,136,178,336,625,868,1224,1724,2923,4019,6144,13402,28723,43027,31745,12174,271
c18000,_male,47982,143,27,5,6,1,182,6,7,9,49,57,100,126,259,482,714,1016,1449,2359,2900,3663,6263,10269,11308,5220,1341,203
c18000,_female,100045,101,12,5,3,1,122,10,4,7,27,28,36,52,77,143,154,208,275,564,1119,2481,7139,18454,31719,26525,10833,68
c20000,_total,66714,106,39,26,24,10,205,75,163,804,1448,1286,1518,1730,2093,2684,2798,2806,3012,4272,5639,7244,8888,9553,6965,2806,617,108
c20000,_male,40657,60,23,12,13,5,113,49,87,561,1042,905,1130,1286,1555,1956,2060,2130,2237,3086,3822,4510,5193,5068,2934,739,115,79
c20000,_female,26057,46,16,14,11,5,92,26,76,243,406,381,388,444,538,728,738,676,775,1186,1817,2734,3695,4485,4031,2067,502,29
c22000,_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c22000,_male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c22000,_female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
