col1,col2,all_age,ag00,ag01,ag02,ag03,ag04,ag0004,ag0509,ag1014,ag1519,ag2024,ag2529,ag3034,ag3539,ag4044,ag4549,ag5054,ag5559,ag6064,ag6569,ag7074,ag7579,ag8084,ag8589,ag9094,ag9599,ag100,unknown
c_all,_total,1569050,1356,210,123,86,76,1851,311,422,1265,2146,2257,2819,4414,7271,13844,21801,28642,41973,68705,141338,170192,247487,320647,295883,155165,40183,434
c_all,_male,799420,735,107,70,44,39,995,167,233,777,1401,1451,1797,2754,4550,8672,14069,19156,28869,47837,97014,109955,144728,159604,110745,38692,5608,346
c_all,_female,769630,621,103,53,42,37,856,144,189,488,745,806,1022,1660,2721,5172,7732,9486,13104,20868,44324,60237,102759,161043,185138,116473,34575,88
c01000,_total,23726,35,16,8,7,6,72,10,7,12,13,24,27,37,72,149,259,335,594,1032,2197,2962,4321,5517,4161,1675,248,2
c01000,_male,11714,24,7,5,2,2,40,5,5,8,3,12,16,26,45,94,187,244,401,692,1369,1667,2295,2518,1591,460,35,1
c01000,_female,12012,11,9,3,5,4,32,5,2,4,10,12,11,11,27,55,72,91,193,340,828,1295,2026,2999,2570,1215,213,1
c02000,_total,399471,19,10,14,10,20,73,103,91,131,157,266,502,1025,2015,4492,7774,11392,18110,30797,60286,63089,72197,68902,42610,13602,1841,16
c02000,_male,230600,7,3,6,6,10,32,43,48,72,91,120,198,407,800,1878,3639,6126,10871,19800,39852,40918,43724,37691,19196,4689,395,10
c02000,_female,168871,12,7,8,4,10,41,60,43,59,66,146,304,618,1215,2614,4135,5266,7239,10997,20434,22171,28473,31211,23414,8913,1446,6
c03000,_total,4842,8,1,2,2,0,13,7,3,3,9,7,7,12,21,38,67,76,104,202,419,588,809,1064,901,440,52,0
c03000,_male,2147,3,1,0,2,0,6,6,1,1,2,4,5,4,9,25,38,44,59,120,241,306,407,458,311,95,5,0
c03000,_female,2695,5,0,2,0,0,7,1,2,2,7,3,2,8,12,13,29,32,45,82,178,282,402,606,590,345,47,0
c04000,_total,26279,12,1,6,0,1,20,6,5,8,24,26,39,85,145,292,477,660,882,1392,2614,3135,4543,5419,4342,1837,327,1
c04000,_male,14044,6,1,5,0,1,13,5,2,6,13,19,27,50,100,220,371,488,678,1036,1873,1992,2550,2593,1565,415,27,1
c04000,_female,12235,6,0,1,0,0,7,1,3,2,11,7,12,35,45,72,106,172,204,356,741,1143,1993,2826,2777,1422,300,0
c05000,_total,27228,0,0,0,0,0,0,0,0,6,11,13,17,23,56,103,108,155,265,436,1147,1928,3680,6655,7176,4392,1055,2
c05000,_male,10537,0,0,0,0,0,0,0,0,2,3,2,4,7,15,59,69,113,182,302,785,1152,1959,2840,2102,836,103,2
c05000,_female,16691,0,0,0,0,0,0,0,0,4,8,11,13,16,41,44,39,42,83,134,362,776,1721,3815,5074,3556,952,0
c06000,_total,60229,24,23,11,8,9,75,20,40,61,77,67,84,125,188,317,468,691,1204,2161,5183,7454,11537,13772,10911,4870,924,0
c06000,_male,27533,12,15,7,4,2,40,14,22,28,49,44,60,84,110,207,290,447,761,1343,3202,4254,6078,6180,3357,868,95,0
