col1,col2,all_age,ag00,ag01,ag02,ag03,ag04,ag0004,ag0509,ag1014,ag1519,ag2024,ag2529,ag3034,ag3539,ag4044,ag4549,ag5054,ag5559,ag6064,ag6569,ag7074,ag7579,ag8084,ag8589,ag9094,ag9599,ag100,unknown
c06000,_female,32696,12,8,4,4,7,35,6,18,33,28,23,24,41,78,110,178,244,443,818,1981,3200,5459,7592,7554,4002,829,0
c07000,_total,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,2,1,0,0,0
c07000,_male,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0
c07000,_female,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
c08000,_total,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,6,5,1,1,0
c08000,_male,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,1,0,0,0
c08000,_female,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,1,0
c09000,_total,381327,55,17,2,5,7,86,22,34,54,123,180,353,699,1528,3319,5398,6803,9612,14782,30838,38439,59291,82003,78554,40402,8752,55
c09000,_male,185753,29,8,2,3,5,47,15,20,35,83,122,264,518,1154,2472,4129,5277,7405,11131,21627,24197,32785,37627,26486,9153,1163,43
c09000,_female,195574,26,9,0,2,2,39,7,14,19,40,58,89,181,374,847,1269,1526,2207,3651,9211,14242,26506,44376,52068,31249,7589,12
c10000,_total,186500,27,16,9,4,1,57,11,6,11,22,29,40,65,129,240,524,1002,1946,4434,12369,19658,34430,46981,41620,19114,3799,13
c10000,_male,114696,17,10,5,3,0,35,3,2,2,10,18,25,36,84,162,386,760,1519,3533,9648,14787,24039,29562,21812,7377,885,11
c10000,_female,71804,10,6,4,1,1,22,8,4,9,12,11,15,29,45,78,138,242,427,901,2721,4871,10391,17419,19808,11737,2914,2
c11000,_total,59672,63,5,3,5,2,78,14,9,12,21,47,89,241,517,1059,1644,2027,2445,3456,5876,6211,9056,11560,9849,4611,844,6
c11000,_male,32041,42,4,2,3,2,53,8,6,7,10,22,52,172,390,808,1290,1615,1913,2602,4182,3968,5087,5249,3329,1153,120,5
c11000,_female,27631,21,1,1,2,0,25,6,3,5,11,25,37,69,127,251,354,412,532,854,1694,2243,3969,6311,6520,3458,724,1
c12000,_total,3486,1,0,2,0,1,4,0,0,0,0,1,3,5,8,21,34,55,81,103,238,304,533,765,826,397,108,0
c12000,_male,1435,1,0,0,0,1,2,0,0,0,0,0,3,3,6,15,26,47,55,65,159,171,265,285,244,77,12,0
c12000,_female,2051,0,0,2,0,0,2,0,0,0,0,1,0,2,2,6,8,8,26,38,79,133,268,480,582,320,96,0
c13000,_total,10584,0,1,0,1,1,3,0,1,4,3,1,11,12,25,61,117,146,280,540,1213,1486,2122,2264,1495,663,137,0
c13000,_male,4412,0,1,0,0,0,1,0,1,1,1,0,7,4,7,31,65,79,131,291,616,686,965,882,487,141,16,0
c13000,_female,6172,0,0,0,1,1,2,0,0,3,2,1,4,8,18,30,52,67,149,249,597,800,1157,1382,1008,522,121,0
c14000,_total,50263,5,0,1,2,0,8,4,3,5,5,9,15,31,42,122,231,365,640,1320,3218,4750,8312,12664,11992,5559,966,2
c14000,_male,23636,4,0,1,1,0,6,3,1,3,2,5,9,16,28,75,152,263,446,887,2122,2946,4522,5984,4476,1500,188,2
c14000,_female,26627,1,0,0,1,0,2,1,2,2,3,4,6,15,14,47,79,102,194,433,1096,1804,3790,6680,7516,4059,778,0
c15000,_total,33,0,0,0,0,0,0,0,0,0,0,5,10,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
c15000,_male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c15000,_female,33,0,0,0,0,0,0,0,0,0,0,5,10,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
c16000,_total,367,351,4,2,1,0,358,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c16000,_male,193,185,3,0,0,0,188,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c16000,_female,174,166,1,2,1,0,170,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c17000,_total,2011,483,62,23,17,12,597,29,25,26,25,28,33,40,47,56,72,101,93,116,138,109,114,164,142,48,8,0
c17000,_male,950,248,30,10,8,5,301,17,14,20,10,20,15,19,24,27,35,50,56,63,73,45,43,58,46,13,1,0
c17000,_female,1061,235,32,13,9,7,296,12,11,6,15,8,18,21,23,29,37,51,37,53,65,64,71,106,96,35,7,0
c18000,_total,212157,173,21,15,4,1,214,10,15,23,69,86,136,233,333,656,1138,1487,2035,3118,6243,8508,19268,40641,61516,47733,18482,213
c18000,_male,70678,103,10,13,3,1,130,8,9,15,44,62,86,166,260,492,898,1221,1678,2532,4679,5208,9359,15438,17053,9051,2119,170
c18000,_female,141479,70,11,2,1,0,84,2,6,8,25,24,50,67,73,164,240,266,357,586,1564,3300,9909,25203,44463,38682,16363,43
c20000,_total,73183,90,28,17,15,13,163,49,170,904,1576,1446,1413,1723,2064,2776,3257,2991,3040,3653,6389,7237,9905,11144,8626,3693,849,115
c20000,_male,43896,49,11,11,7,9,87,29,93,575,1072,988,995,1215,1477,2015,2330,2106,2221,2560,4346,4557,5898,6084,3909,1104,140,95
c20000,_female,29287,41,17,6,8,4,76,20,77,329,504,458,418,508,587,761,927,885,819,1093,2043,2680,4007,5060,4717,2589,709,20
c22000,_total,47661,10,5,8,5,2,30,21,10,5,11,22,40,45,76,143,233,355,641,1160,2967,4330,7365,11124,11156,6128,1790,9
c22000,_male,25139,5,3,3,2,1,14,8,8,2,8,13,31,27,41,92,164,276,492,877,2238,3099,4749,6151,4779,1760,304,6
c22000,_female,22522,5,2,5,3,1,16,13,2,3,3,9,9,18,35,51,69,79,149,283,729,1231,2616,4973,6377,4368,1486,3
